payment_id,amount,status,failure_reason,customer_type
PAY278,3000,success,,new
PAY279,3000,success,,returning
PAY280,4000,success,,returning
PAY281,2500,failed,bank_timeout,new
PAY282,3000,success,,returning
PAY283,5000,success,,returning
PAY284,2000,success,,new
PAY285,2500,failed,insufficient_funds,returning
PAY286,1500,success,,new
PAY287,4000,success,,new
PAY288,1000,failed,card_expired,new
PAY289,5000,success,,new
PAY290,10000,success,,returning
PAY291,3000,failed,card_expired,returning
PAY292,5000,success,,new
PAY293,500,failed,upi_timeout,returning
PAY294,7500,success,,returning
PAY295,1000,success,,returning
PAY296,5000,failed,card_expired,new
PAY297,2000,success,,new
PAY298,2500,success,,new
PAY299,3000,success,,returning
PAY300,5000,success,,new
PAY301,5000,success,,new
PAY302,1000,success,,new
PAY303,2500,success,,new
PAY304,2500,success,,returning
PAY305,1000,success,,new
PAY306,1500,success,,returning
PAY307,3000,success,,new
PAY308,7500,success,,new
PAY309,1500,success,,returning
PAY310,3000,failed,bank_timeout,new
PAY311,7500,success,,new
PAY312,10000,success,,new
PAY313,5000,success,,new
PAY314,10000,failed,card_expired,new
PAY315,1500,failed,upi_timeout,returning
PAY316,500,failed,upi_timeout,new
PAY317,3000,failed,bank_timeout,returning
PAY318,1500,success,,returning
PAY319,10000,success,,new
PAY320,7500,success,,new
PAY321,7500,success,,new
PAY322,3000,success,,returning
PAY323,500,success,,new
PAY324,500,success,,returning
PAY325,2000,success,,new
PAY326,5000,success,,new
PAY327,5000,success,,returning
PAY328,2000,success,,new
PAY329,5000,success,,new
PAY330,2000,success,,returning
PAY331,500,failed,bank_timeout,new
PAY332,2000,success,,new
PAY333,500,success,,new
PAY334,3000,success,,returning
PAY335,3000,success,,new
PAY336,5000,success,,returning
PAY337,10000,failed,upi_timeout,returning
PAY338,10000,success,,new
PAY339,3000,success,,new
PAY340,1500,success,,new
PAY341,3000,success,,new
PAY342,1000,success,,new
PAY343,1500,failed,upi_timeout,new
PAY344,5000,success,,new
PAY345,10000,failed,card_expired,new
PAY346,7500,failed,card_expired,new
PAY347,1500,success,,returning
PAY348,2000,success,,new
PAY349,1500,failed,bank_timeout,returning
PAY350,7500,success,,new
PAY351,1500,failed,bank_timeout,new
PAY352,2000,failed,insufficient_funds,new
PAY353,2000,failed,insufficient_funds,new
PAY354,1500,success,,returning
PAY355,2500,failed,insufficient_funds,new
PAY356,7500,success,,new
PAY357,2500,success,,returning
PAY358,1500,success,,new
PAY359,1000,success,,new
PAY360,500,success,,returning
PAY361,4000,failed,upi_timeout,new
PAY362,1500,failed,bank_timeout,returning
PAY363,4000,success,,new
PAY364,5000,failed,upi_timeout,returning
PAY365,7500,success,,returning
PAY366,10000,failed,upi_timeout,returning
PAY367,500,failed,insufficient_funds,returning
PAY368,3000,success,,returning
PAY369,3000,success,,new
PAY370,2000,success,,returning
PAY371,7500,success,,returning
PAY372,500,success,,returning
PAY373,1000,success,,new
PAY374,2000,success,,returning
PAY375,1500,failed,insufficient_funds,returning
PAY376,2500,failed,bank_timeout,new
PAY377,7500,success,,new
PAY378,10000,success,,returning
PAY379,7500,success,,returning
PAY380,10000,success,,returning
PAY381,3000,failed,bank_timeout,returning
PAY382,500,success,,returning
PAY383,4000,success,,returning
PAY384,1500,success,,new
PAY385,2500,failed,insufficient_funds,returning
PAY386,2000,success,,new
PAY387,2500,success,,returning
PAY388,500,failed,insufficient_funds,returning
PAY389,1000,failed,insufficient_funds,new
PAY390,3000,success,,new
PAY391,1500,success,,returning
PAY392,1500,success,,new
PAY393,2000,success,,new
PAY394,10000,success,,returning
PAY395,1000,failed,insufficient_funds,new
PAY396,3000,success,,new
PAY397,1500,success,,returning
PAY398,500,success,,returning
PAY399,3000,failed,card_expired,returning
PAY400,5000,failed,insufficient_funds,returning
PAY401,500,success,,new
PAY402,1500,success,,new
PAY403,4000,failed,insufficient_funds,returning
PAY404,5000,success,,returning
PAY405,3000,failed,upi_timeout,new
PAY406,2000,failed,card_expired,new
PAY407,7500,success,,new
PAY408,1500,success,,returning
PAY409,4000,failed,bank_timeout,returning
PAY410,500,success,,returning
PAY411,4000,success,,new
PAY412,2500,success,,returning
PAY413,10000,failed,upi_timeout,new
PAY414,3000,failed,bank_timeout,returning
PAY415,500,success,,returning
PAY416,10000,success,,returning
PAY417,1500,failed,bank_timeout,new
PAY418,7500,success,,new
PAY419,4000,success,,new
PAY420,1000,success,,new
PAY421,7500,success,,returning
PAY422,500,success,,new
PAY423,5000,success,,new
PAY424,5000,success,,new
PAY425,3000,failed,card_expired,new
PAY426,5000,success,,returning
PAY427,7500,success,,returning
PAY428,2000,success,,new
PAY429,4000,success,,new
PAY430,2500,failed,card_expired,returning
PAY431,10000,failed,insufficient_funds,returning
PAY432,2000,failed,card_expired,returning
PAY433,1000,failed,card_expired,new
PAY434,3000,success,,returning
PAY435,2000,success,,new
PAY436,1000,success,,returning
PAY437,10000,success,,returning
PAY438,2500,success,,returning
PAY439,10000,failed,card_expired,returning
PAY440,500,success,,new
PAY441,1500,failed,card_expired,new
PAY442,10000,success,,returning
PAY443,4000,success,,new
PAY444,500,success,,returning
PAY445,1000,success,,new
PAY446,3000,success,,returning
PAY447,2500,failed,card_expired,new
PAY448,7500,failed,bank_timeout,new
PAY449,10000,failed,bank_timeout,returning
PAY450,5000,success,,new
PAY451,1500,success,,new
PAY452,10000,success,,new
PAY453,2500,success,,new
PAY454,5000,failed,upi_timeout,returning
PAY455,2500,success,,new
PAY456,3000,success,,returning
PAY457,2500,success,,returning
PAY458,3000,success,,new
PAY459,500,success,,returning
PAY460,7500,success,,returning
PAY461,1500,success,,new
PAY462,10000,success,,returning
PAY463,1000,success,,new
PAY464,2500,success,,returning
PAY465,1500,success,,returning
PAY466,2000,failed,upi_timeout,new
PAY467,500,failed,upi_timeout,returning
PAY468,2500,failed,upi_timeout,new
PAY469,500,failed,upi_timeout,returning
PAY470,4000,success,,new
PAY471,500,success,,new
PAY472,10000,failed,bank_timeout,returning
PAY473,1000,success,,new
PAY474,7500,failed,upi_timeout,new
PAY475,4000,success,,new
PAY476,7500,success,,new
PAY477,2000,failed,bank_timeout,new
PAY478,5000,failed,card_expired,returning
PAY479,1500,success,,new
PAY480,4000,failed,upi_timeout,new
PAY481,3000,success,,returning
PAY482,500,success,,new
PAY483,1500,success,,returning
PAY484,5000,failed,insufficient_funds,new
PAY485,1500,failed,card_expired,returning
PAY486,3000,failed,bank_timeout,returning
PAY487,4000,success,,new
PAY488,3000,success,,returning
PAY489,1500,success,,returning
PAY490,1500,failed,upi_timeout,returning
PAY491,5000,failed,insufficient_funds,new
PAY492,500,failed,upi_timeout,returning
PAY493,1000,success,,returning
PAY494,1500,failed,bank_timeout,new
PAY495,4000,success,,new
PAY496,2000,failed,insufficient_funds,returning
PAY497,5000,success,,returning
PAY498,4000,failed,insufficient_funds,returning
PAY499,10000,success,,returning
PAY500,5000,success,,new
